month,type,units_central,units_p10,units_p90,value_gbp,net_mass_kg,estimator,confidence,import_units_central
2019-09-01,EDGE_MONITOR,0.0,0.0,0.0,683303.3999999999,129826.12499999996,cn_rule,1.0,0.0
2019-09-01,SATELLITE,0.0,0.0,0.0,5920376.475,980498.0250000001,value_index_only,1.0,0.0
2019-09-01,T1,3219.5544642857144,2575.6435714285717,4097.614772727273,415128.675,90147.525,vpk_threshold,0.7667061363296624,6172.481250000001
2019-09-01,T2,2875.665,1829.9686363636363,4025.9310000000005,522028.64999999997,100648.27500000001,cn_rule,0.9,4394.52
2019-09-01,T3,11370.7985625,8085.901199999998,15161.064749999998,3384307.602,363865.554,prior_allocation,0.39999999999999997,11712.475124999997
2019-09-01,T4,1886.7102800000002,1286.393372727273,2830.06542,1316119.6230000001,141503.271,prior_allocation,0.4,1943.4032800000004
2019-09-01,T5,-4.344166666666666,-2.2341428571428574,-6.51625,-23639.85,-781.95,vpk_threshold,0.7607414188769022,0.0975
2019-09-01,T6,685.2144000000001,342.60720000000003,1427.53,1707775.875,171303.6,vpk_threshold,0.7339275900448464,831.1641
2019-09-01,T7,6131.688333333333,3941.7996428571428,9197.532500000001,10918015.874999996,551851.95,cn_rule,0.9,7457.753333333334
2019-09-01,UNALLOCATED,0.0,0.0,0.0,-7561438.95,-817904.1,vpk_threshold,0.0,0.0
2019-10-01,EDGE_AIRCRAFT,0.0,0.0,0.0,-1512995.2500000002,-1587.3000000000002,vpk_threshold,0.9000000000000001,0.0
2019-10-01,EDGE_MONITOR,0.0,0.0,0.0,-2573043.5250000004,-73515.97499999998,cn_rule,1.0,0.0
2019-10-01,SATELLITE,0.0,0.0,0.0,8020093.574999997,847406.625,value_index_only,1.0,0.0
2019-10-01,T1,-36735.63214285714,-29388.50571428571,-46754.440909090896,-6197205.3,-1028597.7,vpk_threshold,0.6939543847618604,1076.1910714285714
2019-10-01,T2,566.3357142857141,360.39545454545475,792.8700000000003,-49475.40000000014,19821.750000000022,cn_rule,0.8999999999999999,3729.2914285714282
2019-10-01,T3,2972.4215624999997,2113.7219999999998,3963.2287499999993,891156.0059999999,95117.48999999999,prior_allocation,0.39999999999999997,3075.8788125
2019-10-01,T4,493.2018000000001,336.2739545454545,739.8027,346560.66900000005,36990.135,prior_allocation,0.40000000000000013,510.36804000000006
2019-10-01,T5,-32.97666666666667,-16.95942857142857,-49.464999999999996,-193648.65,-5935.799999999999,vpk_threshold,0.7838751452454812,0.9370833333333333
2019-10-01,T6,364.4979000000001,182.24895000000004,759.370625,1608048.0000000002,91124.47499999999,vpk_threshold,0.7990049372973639,656.6157
2019-10-01,T7,2885.545,1854.9932142857144,4328.3175,5935320.300000001,259699.05000000002,cn_rule,0.8999999999999999,3832.5299999999993
2019-10-01,UNALLOCATED,0.0,0.0,0.0,-3037415.5500000003,-341040.37499999994,vpk_threshold,0.0,0.0
2019-11-01,EDGE_AIRCRAFT,0.0,0.0,0.0,2937957.75,476.77499999999986,vpk_threshold,0.9,0.0
2019-11-01,EDGE_MONITOR,0.0,0.0,0.0,1576099.1999999995,228740.84999999995,cn_rule,1.0,0.0
2019-11-01,SATELLITE,0.0,0.0,0.0,4799739.75,262289.625,value_index_only,1.0,0.0
2019-11-01,T1,16319.619642857142,13055.695714285714,20770.425000000003,1097431.725,456949.35,vpk_threshold,0.8572322222426617,23407.17321428571
2019-11-01,T2,1786.7849999999999,1137.045,2501.4989999999993,99814.65000000002,62537.475000000006,cn_rule,0.9,4309.3607142857145
2019-11-01,T3,7528.247999999999,5353.4208,10037.663999999999,1957312.89,240903.93599999996,prior_allocation,0.4,7701.488437499999
